tri,vertex,x,y,z,fault_name
153,c,-73077.4601654524,3381277.2699558525,-5552.0,gurla
153,m,-71611.55844682526,3383019.714413874,-3762.3333333333335,gurla
154,a,-81095.1477790702,3385668.7311560963,-15123.0,gurla
154,b,-77771.2769557766,3384708.85570542,-10064.0,gurla
154,c,-80346.5236011337,3382259.811803279,-15057.0,gurla
154,m,-79737.64944532684,3384212.4662215984,-13414.666666666666,gurla
155,a,-84140.4950933084,3385617.7026385,-19973.0,gurla
155,b,-81095.1477790702,3385668.7311560963,-15123.0,gurla
155,c,-83632.8043878656,3382364.716260667,-20418.0,gurla
155,m,-82956.14908674808,3384550.3833517544,-18504.666666666668,gurla
156,a,-68065.3703668007,3383643.6123005194,-725.0,gurla
156,b,-60271.2831317143,3382814.3237977745,4577.0,gurla
156,c,-67556.2113617908,3380815.4386058054,-805.0,gurla
156,m,-65297.621620101934,3382424.4582347,1015.6666666666666,gurla
157,a,-73691.8448082227,3384138.26098525,-5010.0,gurla
157,b,-68488.551931594,3386175.5347918025,-765.0,gurla
157,c,-68065.3703668007,3383643.6123005194,-725.0,gurla
157,m,-70081.92236887246,3384652.4693591907,-2166.6666666666665,gurla
158,a,-77771.2769557766,3384708.85570542,-10064.0,gurla
158,b,-73907.9094990283,3386801.439964119,-5537.0,gurla
158,c,-73691.8448082227,3384138.26098525,-5010.0,gurla
158,m,-75123.67708767587,3385216.1855515963,-6870.333333333333,gurla
159,a,-73907.9094990283,3386801.439964119,-5537.0,gurla
159,b,-68488.551931594,3386175.5347918025,-765.0,gurla
159,c,-73691.8448082227,3384138.26098525,-5010.0,gurla
159,m,-72029.43541294834,3385705.0785803907,-3770.6666666666665,gurla
160,a,-81095.1477790702,3385668.7311560963,-15123.0,gurla
160,b,-78298.8700595595,3388685.5011560065,-10382.0,gurla
160,c,-77771.2769557766,3384708.85570542,-10064.0,gurla
160,m,-79055.09826480212,3386354.3626725078,-11856.333333333334,gurla
161,a,-84179.4961057124,3388343.6849967395,-19935.0,gurla
161,b,-81095.1477790702,3385668.7311560963,-15123.0,gurla
161,c,-84140.4950933084,3385617.7026385,-19973.0,gurla
161,m,-83138.37965936367,3386543.3729304452,-18343.666666666668,gurla
162,a,-78298.8700595595,3388685.5011560065,-10382.0,gurla
162,b,-73907.9094990283,3386801.439964119,-5537.0,gurla
162,c,-77771.2769557766,3384708.85570542,-10064.0,gurla
162,m,-76659.35217145481,3386731.9322751816,-8661.0,gurla
163,a,-84179.4961057124,3388343.6849967395,-19935.0,gurla
163,b,-81630.4195162322,3389568.0851318375,-14743.0,gurla
163,c,-81095.1477790702,3385668.7311560963,-15123.0,gurla
163,m,-82301.68780033826,3387860.1670948914,-16600.333333333332,gurla
164,a,-68065.3703668007,3383643.6123005194,-725.0,gurla
164,b,-59569.884870877,3384645.4241766375,4651.0,gurla
164,c,-60271.2831317143,3382814.3237977745,4577.0,gurla
164,m,-62635.51278979733,3383701.1200916437,2834.3333333333335,gurla
165,a,-81630.4195162322,3389568.0851318375,-14743.0,gurla
165,b,-78298.8700595595,3388685.5011560065,-10382.0,gurla
165,c,-81095.1477790702,3385668.7311560963,-15123.0,gurla
165,m,-80341.47911828729,3387974.105814647,-13416.0,gurla
166,a,-68488.551931594,3386175.5347918025,-765.0,gurla
166,b,-59569.884870877,3384645.4241766375,4651.0,gurla
166,c,-68065.3703668007,3383643.6123005194,-725.0,gurla
166,m,-65374.60238975723,3384821.5237563197,1053.6666666666667,gurla
167,a,-73335.4874031276,3389894.2023254214,-5624.0,gurla
167,b,-68488.551931594,3386175.5347918025,-765.0,gurla
167,c,-73907.9094990283,3386801.439964119,-5537.0,gurla
167,m,-71910.64961124997,3387623.725693781,-3975.3333333333335,gurla
168,a,-78298.8700595595,3388685.5011560065,-10382.0,gurla
168,b,-73335.4874031276,3389894.2023254214,-5624.0,gurla
168,c,-73907.9094990283,3386801.439964119,-5537.0,gurla
168,m,-75180.75565390514,3388460.3811485157,-7181.0,gurla
169,a,-67661.9402787471,3389400.5404737857,-732.0,gurla
169,b,-59569.884870877,3384645.4241766375,4651.0,gurla
169,c,-68488.551931594,3386175.5347918025,-765.0,gurla
169,m,-65240.12569373937,3386740.499814075,1051.3333333333333,gurla
170,a,-73335.4874031276,3389894.2023254214,-5624.0,gurla
170,b,-67661.9402787471,3389400.5404737857,-732.0,gurla
170,c,-68488.551931594,3386175.5347918025,-765.0,gurla
170,m,-69828.65987115624,3388490.0925303367,-2373.6666666666665,gurla
171,a,-83943.698364826,3391556.5940795033,-19847.0,gurla
171,b,-81630.4195162322,3389568.0851318375,-14743.0,gurla
